"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","none","97.5%","var",2,"S",0.102419162636621,0.0694996669185845
"0.25","0.25","many2many","none","mean","var",2,"S",0.050179766434302,0.0540269622973234
"0.25","0.25","many2many","none","var","var",2,"S",0.000473263552352348,0.000232110576131811
"0.25","0.25","many2many","opposite","2.5%","mean",1,"jaccard",0.13880980528723,0.582382347554065
"0.25","0.25","many2many","opposite","50%","mean",1,"jaccard",0.290778903097908,0.752548084289408
"0.25","0.25","many2many","opposite","97.5%","mean",1,"jaccard",0.558655807828501,0.833563370840976
"0.25","0.25","many2many","opposite","mean","mean",1,"jaccard",0.324467504290774,0.734574897141839
"0.25","0.25","many2many","opposite","var","mean",1,"jaccard",0.0153182693601395,0.00632237048982349
"0.25","0.25","many2many","opposite","2.5%","var",1,"jaccard",0.000150246790736857,0.000258746505664852
"0.25","0.25","many2many","opposite","50%","var",1,"jaccard",0.000685128247831851,0.000875546003281315
"0.25","0.25","many2many","opposite","97.5%","var",1,"jaccard",0.00390836284181655,0.00372476452620706
"0.25","0.25","many2many","opposite","mean","var",1,"jaccard",0.00116350666906589,0.00130969718986961
"0.25","0.25","many2many","opposite","var","var",1,"jaccard",1.36294138015515e-06,1.2450444046351e-06
"0.25","0.25","many2many","opposite","2.5%","mean",1,"N",-0.602185474652975,-0.602185474652975
"0.25","0.25","many2many","opposite","50%","mean",1,"N",-0.0349390933583278,-0.0349390933583278
"0.25","0.25","many2many","opposite","97.5%","mean",1,"N",0.60550127677227,0.60550127677227
"0.25","0.25","many2many","opposite","mean","mean",1,"N",-0.0170722855769942,-0.0170722855769942
"0.25","0.25","many2many","opposite","var","mean",1,"N",0.110452995208923,0.110452995208923
"0.25","0.25","many2many","opposite","2.5%","var",1,"N",8.26982936172916e-05,8.26982936172916e-05
"0.25","0.25","many2many","opposite","50%","var",1,"N",0.0124091411703152,0.0124091411703152
"0.25","0.25","many2many","opposite","97.5%","var",1,"N",0.0928772447743798,0.0928772447743798
"0.25","0.25","many2many","opposite","mean","var",1,"N",0.0227682714220643,0.0227682714220643
"0.25","0.25","many2many","opposite","var","var",1,"N",0.000665128435554351,0.000665128435554351
"0.25","0.25","many2many","opposite","2.5%","mean",1,"rda",0.0342748138250407,0.104251642953644
"0.25","0.25","many2many","opposite","50%","mean",1,"rda",0.101269800585575,0.259558305789902
"0.25","0.25","many2many","opposite","97.5%","mean",1,"rda",0.185792480669439,0.445876206356679
"0.25","0.25","many2many","opposite","mean","mean",1,"rda",0.106815551653255,0.267205047083365
"0.25","0.25","many2many","opposite","var","mean",1,"rda",0.00181063002382536,0.0105543818543491
"0.25","0.25","many2many","opposite","2.5%","var",1,"rda",1.63940874675598e-05,4.07257076617103e-05
"0.25","0.25","many2many","opposite","50%","var",1,"rda",0.000135002285222806,0.000523233716462045
"0.25","0.25","many2many","opposite","97.5%","var",1,"rda",0.000931500671748523,0.00252551457811241
"0.25","0.25","many2many","opposite","mean","var",1,"rda",0.00021950747251034,0.000762970837828818
"0.25","0.25","many2many","opposite","var","var",1,"rda",5.33925450577185e-08,5.08275420293926e-07
"0.25","0.25","many2many","opposite","2.5%","mean",1,"S",-0.604746584223267,-0.72484164783737
"0.25","0.25","many2many","opposite","50%","mean",1,"S",-0.00944148088689306,0.0169391870830563
"0.25","0.25","many2many","opposite","97.5%","mean",1,"S",0.600406094509178,0.634974410342077
"0.25","0.25","many2many","opposite","mean","mean",1,"S",-0.00776577071171126,-0.0004470587021608
"0.25","0.25","many2many","opposite","var","mean",1,"S",0.0944131431609076,0.13076888370938
"0.25","0.25","many2many","opposite","2.5%","var",1,"S",0.000190032634269093,0.000193044913402487
"0.25","0.25","many2many","opposite","50%","var",1,"S",0.00110883813649118,0.00103563293536157
"0.25","0.25","many2many","opposite","97.5%","var",1,"S",0.00521797226229743,0.00414881711735409
"0.25","0.25","many2many","opposite","mean","var",1,"S",0.00175338668352794,0.0013726449021807
"0.25","0.25","many2many","opposite","var","var",1,"S",2.44846721439357e-06,1.32149487842035e-06
"0.25","0.25","many2many","opposite","2.5%","mean",2,"jaccard",0.505428762046352,-0.0617528427833305
"0.25","0.25","many2many","opposite","50%","mean",2,"jaccard",0.727346201181665,0.1431024695036
"0.25","0.25","many2many","opposite","97.5%","mean",2,"jaccard",0.835043755372821,0.488674771923887
"0.25","0.25","many2many","opposite","mean","mean",2,"jaccard",0.707459522335998,0.161943822612195
"0.25","0.25","many2many","opposite","var","mean",2,"jaccard",0.00945122041188315,0.0239643641582177
"0.25","0.25","many2many","opposite","2.5%","var",2,"jaccard",8.8467881697733e-05,0.000411692779136004
"0.25","0.25","many2many","opposite","50%","var",2,"jaccard",0.000420284725823279,0.00120205880397975
