"o","mra","mrb","stat","summary","env","measure","cor_a","cor_b"
"0.1","10","1","97.5%","var",1,"jaccard",0.00407677878754751,0.00854181130098125
"0.1","10","1","97.5%","var",1,"N",0.0928888293689182,0.0928888293689182
"0.1","10","1","97.5%","var",1,"rda",0.000394007777920012,0.00302179341976544
"0.1","10","1","97.5%","var",1,"S",0.0116266193463469,0.0165298365593881
"0.1","10","1","97.5%","var",2,"jaccard",0.00158600066481473,0.0082193035230034
"0.1","10","1","97.5%","var",2,"N",0.108587320754064,0.108587320754064
"0.1","10","1","97.5%","var",2,"rda",0.0015472842426057,0.00296128834187274
"0.1","10","1","97.5%","var",2,"S",0.00785835557513495,0.0142958884088078
"0.1","10","1","mean","mean",1,"jaccard",-0.00250805936617792,0.653987206373992
"0.1","10","1","mean","mean",1,"N",-0.0107168066977056,-0.0107168066977056
"0.1","10","1","mean","mean",1,"rda",0.052827380138455,0.290469889597244
"0.1","10","1","mean","mean",1,"S",-0.0532302324876857,-0.0270114082185949
"0.1","10","1","mean","mean",2,"jaccard",0.890291479319991,0.270797279662834
"0.1","10","1","mean","mean",2,"N",-0.00318513379171059,-0.00318513379171059
"0.1","10","1","mean","mean",2,"rda",0.379268953765257,0.136834196136645
"0.1","10","1","mean","mean",2,"S",-0.0210841953640759,-0.0372280881527776
"0.1","10","1","mean","var",1,"jaccard",0.00123016878872619,0.00189907489681017
"0.1","10","1","mean","var",1,"N",0.0475324049055709,0.0475324049055709
"0.1","10","1","mean","var",1,"rda",0.000109732161492202,0.00126238491028697
"0.1","10","1","mean","var",1,"S",0.00315306905172854,0.00451811266353555
"0.1","10","1","mean","var",2,"jaccard",0.00039114006619689,0.00274701223495741
"0.1","10","1","mean","var",2,"N",0.0500984018830049,0.0500984018830049
"0.1","10","1","mean","var",2,"rda",0.000673342112396365,0.000751147001726822
"0.1","10","1","mean","var",2,"S",0.00277675022040765,0.00433993909352834
"0.1","10","1","var","mean",1,"jaccard",0.0135785099136942,0.018044710214841
"0.1","10","1","var","mean",1,"N",0.0076999425868602,0.0076999425868602
"0.1","10","1","var","mean",1,"rda",0.000802901642592643,0.00814805606882991
"0.1","10","1","var","mean",1,"S",0.0467867208082084,0.199877123014935
"0.1","10","1","var","mean",2,"jaccard",0.00106898785815889,0.0322375875891171
"0.1","10","1","var","mean",2,"N",0.0102720527940387,0.0102720527940387
