"o","mra","mrb","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.2","1","20","97.5%","mean",1.36776821669442,26.69575,30,1.44876184011478,9.16075,10,0.783781102060355,95.51,1910.2
"0.2","1","20","97.5%","var",0.000292556994686755,0.110305555555556,0,0.000899438503722976,0.0282777777777778,0,0.0188011285857018,0.474389583333334,189.755833333333
"0.2","1","20","mean","mean",1.22978187773407,24.4533,30,1.24347590346436,8.08615,10,0.337050349862292,95.18955,1903.791
"0.2","1","20","mean","var",0.000127247021916714,0.0495672222222222,0,0.000326130163128911,0.0129669444444444,0,0.00708947465862288,0.261323055555556,104.529222222222
"0.2","1","20","var","mean",0.00367175272302185,1.37130667676768,0,0.00854182766274145,0.340818613636364,0,0.0626980705178189,0.130255098484849,52.1020393939394
"0.2","1","20","var","var",4.67316930043423e-09,0.000646498818119466,0,4.84085825219318e-08,4.80440468730514e-05,0,3.05738293074747e-05,0.205865438936511,32938.4702298416
"0.2","10","1","2.5%","mean",1.1950908721524,19.91625,30,1.10581344142739,6.61975,10,-0.096204898759914,93.941,1878.82
"0.2","10","1","2.5%","var",8.996965762554e-05,0.0231701388888888,0,9.35062994721684e-05,0.00413888888888891,0,0.000712136071768766,0.0890694444444455,35.6277777777778
"0.2","10","1","50%","mean",1.31157604827722,22.875,30,1.25571983683177,7.965,10,0.371108929065407,95.2175,1904.35
"0.2","10","1","50%","var",0.000213857879725666,0.0698472222222222,0,0.00032029800547814,0.0129722222222222,0,0.00558538396530153,0.257777777777777,103.111111111111
"0.2","10","1","97.5%","mean",1.50675161468199,25.10675,30,1.51118134246263,9.044125,10,0.813510734257723,95.537875,1910.7575
"0.2","10","1","97.5%","var",0.000520950756495484,0.118758333333333,0,0.00120582727320065,0.0295159722222222,0,0.0149581942274203,2.90821388888888,1163.28555555555
"0.2","10","1","mean","mean",1.32162269933907,22.77625,30,1.26572831755995,7.96335,10,0.385074683335424,95.14065,1902.813
"0.2","10","1","mean","var",0.00022982154324787,0.0673841666666667,0,0.000398491605011299,0.0143325,0,0.00622129599841112,0.4804925,192.197
"0.2","10","1","var","mean",0.00596596839549136,1.65682089646465,0,0.0131877303992075,0.46841921969697,0,0.0586419876600215,0.281077603535353,112.431041414141
"0.2","10","1","var","var",1.0635494244378e-08,0.00070197867650268,0,9.10411115300249e-08,5.25939714272353e-05,0,1.50788355286466e-05,1.7527086385281,280433.382164497
"0.2","10","10","2.5%","mean",1.19814188270241,20.334875,30,1.09992176565234,6.426625,10,-0.0534507967113957,94.852125,1897.0425
"0.2","10","10","2.5%","var",7.39795800171888e-05,0.0237416666666666,0,6.65070896548375e-05,0.00386111111111111,0,0.00152539797140624,0.0686756944444446,27.4702777777778
"0.2","10","10","50%","mean",1.32920194574003,22.5725,30,1.26209383983334,7.925,10,0.350909586339061,95.215,1904.3
"0.2","10","10","50%","var",0.000214803970129807,0.0637777777777779,0,0.000363749589998111,0.0130277777777777,0,0.00584260090355214,0.21823611111111,87.2944444444445
"0.2","10","10","97.5%","mean",1.4754157476225,25.043125,30,1.557125540256,9.09275,10,0.757078810122136,95.557625,1911.1525
"0.2","10","10","97.5%","var",0.000577115424175904,0.132761111111111,0,0.00140044544238715,0.0310972222222222,0,0.0193019200672408,0.519947222222225,207.978888888889
"0.2","10","10","mean","mean",1.32699996174061,22.68,29.999,1.27156252082578,7.9162,9.991,0.344037572576195,95.19405,1903.881
"0.2","10","10","mean","var",0.000235613813532273,0.0667755555555556,0.001,0.000449492312664798,0.0146661111111111,0.001,0.00745200499569023,0.306518055555556,122.607222222222
"0.2","10","10","var","mean",0.00561034420616287,1.60990101010101,0.000100000000000003,0.0124394420164317,0.445164707070707,0.00810000000000001,0.0568016897823465,0.0803139873737374,32.1255949494948
"0.2","10","10","var","var",1.5710747542235e-08,0.000935202576381097,1e-04,1.8421432240231e-07,6.22831864945755e-05,1e-04,3.10516129653356e-05,0.406967177163222,65114.7483461155
"0.2","10","20","2.5%","mean",1.20795626376275,19.442,30,1.08574637826739,6.558875,10,-0.0759032709005091,94.951625,1899.0325
"0.2","10","20","2.5%","var",8.13717705788119e-05,0.0233333333333332,0,5.6196537303718e-05,0.00323888888888889,0,0.00132665333716005,0.0693229166666664,27.7291666666667
"0.2","10","20","50%","mean",1.3169498870414,22.785,30,1.26240065999151,7.9225,10,0.4111439265698,95.24,1904.8
"0.2","10","20","50%","var",0.000210476350969112,0.065013888888889,0,0.000336727125471499,0.0137777777777778,0,0.00530664234569046,0.221458333333333,88.5833333333333
"0.2","10","20","97.5%","mean",1.54383501134121,24.838125,30,1.52587631240761,9.212375,10,0.788279620537135,95.48025,1909.605
"0.2","10","20","97.5%","var",0.000620125634767706,0.152180555555556,0,0.00124762952960303,0.0314305555555555,0,0.0139046681703614,0.550681249999998,220.2725
"0.2","10","20","mean","mean",1.32883401623426,22.6683,30,1.27390727867127,7.9137,9.999,0.391661222510045,95.22455,1904.491
"0.2","10","20","mean","var",0.000254915589142429,0.0709722222222222,0,0.000469385782075802,0.0148561111111111,0.001,0.00599112967605893,0.291510833333333,116.604333333333
"0.2","10","20","var","mean",0.00733476373558774,1.97019708080808,0,0.01367705090137,0.48522405050505,9.99999999999993e-05,0.0629844662843706,0.0393737853535355,15.7495141414142
"0.2","10","20","var","var",2.71423008082588e-08,0.00125103130066093,0,2.73558169095067e-07,6.63627225963337e-05,1e-04,1.33381132833716e-05,0.302879352754317,48460.6964406909
"0.2","20","1","2.5%","mean",1.20009726822121,19.252375,30,1.11443811538787,6.64975,10,-0.0824040003763856,94.93975,1898.795
"0.2","20","1","2.5%","var",6.59916672405676e-05,0.0225062499999999,0,0.000100663835891028,0.00462152777777774,0,0.000660316510850974,0.0687138888888888,27.4855555555556
"0.2","20","1","50%","mean",1.36823398613976,21.9275,30,1.25134513663485,7.9925,10,0.393586270631076,95.25,1905
"0.2","20","1","50%","var",0.000292438253973018,0.0687916666666666,0,0.000342318459783019,0.0129722222222223,0,0.00566520633844459,0.193944444444444,77.5777777777778
