"topo","envfilt","stat","summary","env","measure","time","cor_a","cor_b"
"many2many","all","var","mean",2,"jaccard","T1000",0.0260990731660636,0.0319040392135413
"many2many","all","var","mean",2,"jaccard","T2000",0.0236801993064124,0.0299193011438026
"many2many","all","var","mean",2,"jaccard","T4000",0.0215497596319543,0.0276665134008875
"many2many","all","var","mean",2,"jaccard","T8000",0.0205975266964861,0.028569672094032
"many2many","all","var","mean",2,"N","T1000",0.115009997977769,0.115009997977769
"many2many","all","var","mean",2,"N","T2000",0.10970596227766,0.10970596227766
"many2many","all","var","mean",2,"N","T4000",0.102895955460817,0.102895955460817
"many2many","all","var","mean",2,"N","T8000",0.0920946155309316,0.0920946155309316
"many2many","all","var","mean",2,"rda","T1000",0.00279500321316422,0.00670579430980532
"many2many","all","var","mean",2,"rda","T2000",0.00281239309372681,0.00691029075718156
"many2many","all","var","mean",2,"rda","T4000",0.00279070853674387,0.00685210413170182
"many2many","all","var","mean",2,"rda","T8000",0.00274140205637051,0.00676219946962836
"many2many","all","var","mean",2,"S","T1000",0.0763942646382056,0.088896218593836
"many2many","all","var","mean",2,"S","T2000",0.0791050697601778,0.0936897670227366
"many2many","all","var","mean",2,"S","T4000",0.0818146098566997,0.098341088928141
"many2many","all","var","mean",2,"S","T8000",0.0836286443944995,0.102583128000296
"many2many","all","var","var",1,"jaccard","T1000",5.27060288741632e-07,1.46787171388985e-06
"many2many","all","var","var",1,"jaccard","T2000",7.56530070061994e-07,1.10101215944557e-06
"many2many","all","var","var",1,"jaccard","T4000",5.79177306860081e-07,1.63203664742536e-06
"many2many","all","var","var",1,"jaccard","T8000",8.02750062250361e-07,1.63965714209295e-06
"many2many","all","var","var",1,"N","T1000",0.00106582217671244,0.00106582217671244
"many2many","all","var","var",1,"N","T2000",0.00119548356079063,0.00119548356079063
"many2many","all","var","var",1,"N","T4000",0.00101455809670882,0.00101455809670882
"many2many","all","var","var",1,"N","T8000",0.00100868177728101,0.00100868177728101
"many2many","all","var","var",1,"rda","T1000",7.79819752586433e-08,7.91290943185403e-07
"many2many","all","var","var",1,"rda","T2000",6.05497098269758e-08,3.74362746170827e-07
"many2many","all","var","var",1,"rda","T4000",5.37104429322815e-08,4.01518715974391e-07
"many2many","all","var","var",1,"rda","T8000",5.79677131186433e-08,3.75926076189507e-07
"many2many","all","var","var",1,"S","T1000",1.44683947362856e-06,2.95075142704901e-06
"many2many","all","var","var",1,"S","T2000",1.70778397206217e-06,2.87499473349493e-06
"many2many","all","var","var",1,"S","T4000",1.45137273224682e-06,2.6148714385231e-06
"many2many","all","var","var",1,"S","T8000",1.76335571113346e-06,4.59236564752401e-06
"many2many","all","var","var",2,"jaccard","T1000",9.80327476522579e-07,1.65191525720404e-06
"many2many","all","var","var",2,"jaccard","T2000",5.17079866163093e-07,3.27284323320949e-06
"many2many","all","var","var",2,"jaccard","T4000",8.58613759140822e-07,1.52658332308606e-06
"many2many","all","var","var",2,"jaccard","T8000",1.10878975586939e-06,1.43238489206586e-06
"many2many","all","var","var",2,"N","T1000",0.00113075577167859,0.00113075577167859
"many2many","all","var","var",2,"N","T2000",0.00133232180738381,0.00133232180738381
"many2many","all","var","var",2,"N","T4000",0.00177907717030826,0.00177907717030826
"many2many","all","var","var",2,"N","T8000",0.00113100007080922,0.00113100007080922
"many2many","all","var","var",2,"rda","T1000",8.51512075438771e-08,8.03458865937552e-07
"many2many","all","var","var",2,"rda","T2000",9.5692016180946e-08,5.41952324569784e-07
"many2many","all","var","var",2,"rda","T4000",5.46559753852411e-08,4.35375876365296e-07
"many2many","all","var","var",2,"rda","T8000",5.00627155710204e-08,5.26443995843652e-07
"many2many","all","var","var",2,"S","T1000",1.29685576028012e-06,2.13018223218969e-06
"many2many","all","var","var",2,"S","T2000",1.55076712976244e-06,3.63762970412204e-06
"many2many","all","var","var",2,"S","T4000",1.9383044960449e-06,4.56149401953914e-06
"many2many","all","var","var",2,"S","T8000",1.48876349965571e-06,4.24161785015214e-06
"many2many","none","2.5%","mean",1,"jaccard","T1000",-0.0739293771766032,-0.0433399325514402
"many2many","none","2.5%","mean",1,"jaccard","T2000",-0.0811778081548222,-0.00481495651927797
"many2many","none","2.5%","mean",1,"jaccard","T4000",-0.0641647936444214,0.0289207341315866
"many2many","none","2.5%","mean",1,"jaccard","T8000",-0.0779667227076556,0.0132767779037597
"many2many","none","2.5%","mean",1,"N","T1000",-0.136426536194312,-0.136426536194312
"many2many","none","2.5%","mean",1,"N","T2000",-0.126911629286847,-0.126911629286847
"many2many","none","2.5%","mean",1,"N","T4000",-0.139363088170422,-0.139363088170422
"many2many","none","2.5%","mean",1,"N","T8000",-0.131825522104878,-0.131825522104878
"many2many","none","2.5%","mean",1,"rda","T1000",0.0423730760649642,0.0360580757478839
"many2many","none","2.5%","mean",1,"rda","T2000",0.0426885401329652,0.0432189994014851
"many2many","none","2.5%","mean",1,"rda","T4000",0.0432319225898963,0.0608358026694706
"many2many","none","2.5%","mean",1,"rda","T8000",0.042821579011371,0.0579271760705941
"many2many","none","2.5%","mean",1,"S","T1000",-0.122658196614347,-0.0622321461106458
"many2many","none","2.5%","mean",1,"S","T2000",-0.132728057535105,-0.194244971493558
"many2many","none","2.5%","mean",1,"S","T4000",-0.141457785189063,-0.189875941238407
"many2many","none","2.5%","mean",1,"S","T8000",-0.157044253607459,0.0250801912245474
