"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0","many2many","opposite","50%","mean",2,"N",-0.000394441797902621,-0.000394441797902621
"0","many2many","opposite","97.5%","mean",2,"N",0.140961320169669,0.140961320169669
"0","many2many","opposite","mean","mean",2,"N",0.00551084639819223,0.00551084639819223
"0","many2many","opposite","var","mean",2,"N",0.00480087334117295,0.00480087334117295
"0","many2many","opposite","2.5%","var",2,"N",0.0182631567707905,0.0182631567707905
"0","many2many","opposite","50%","var",2,"N",0.0484524460811442,0.0484524460811442
"0","many2many","opposite","97.5%","var",2,"N",0.117470535594217,0.117470535594217
"0","many2many","opposite","mean","var",2,"N",0.0527441107104318,0.0527441107104318
"0","many2many","opposite","var","var",2,"N",0.000634999282937779,0.000634999282937779
"0","many2many","opposite","2.5%","mean",2,"rda",0.254562151570782,0.103691326713086
"0","many2many","opposite","50%","mean",2,"rda",0.342483001696116,0.314778382616655
"0","many2many","opposite","97.5%","mean",2,"rda",0.459210397020897,0.483037134534071
"0","many2many","opposite","mean","mean",2,"rda",0.346965669697142,0.303492140752013
"0","many2many","opposite","var","mean",2,"rda",0.00292606331365065,0.0134862170106013
"0","many2many","opposite","2.5%","var",2,"rda",0.000224835719613098,0.000456979561862046
"0","many2many","opposite","50%","var",2,"rda",0.000606604324185175,0.00429946561329649
"0","many2many","opposite","97.5%","var",2,"rda",0.00148046217180373,0.0166953542181264
"0","many2many","opposite","mean","var",2,"rda",0.000671464429736493,0.00540652868356908
"0","many2many","opposite","var","var",2,"rda",1.25320636690468e-07,2.09188558399624e-05
"0","many2many","opposite","2.5%","mean",2,"S",-0.71188177910645,-0.737620602951839
"0","many2many","opposite","50%","mean",2,"S",0.0379181420508982,-0.0331215321346719
"0","many2many","opposite","97.5%","mean",2,"S",0.782203264505961,0.690059983134629
"0","many2many","opposite","mean","mean",2,"S",0.0247634401754579,0.00687300626265476
"0","many2many","opposite","var","mean",2,"S",0.147842052212816,0.264355603068276
"0","many2many","opposite","2.5%","var",2,"S",0.000614715900633621,0.000502485446552705
"0","many2many","opposite","50%","var",2,"S",0.00258823204335482,0.0109457120382028
"0","many2many","opposite","97.5%","var",2,"S",0.0120297608374756,0.102471361069795
"0","many2many","opposite","mean","var",2,"S",0.00363545211980001,0.0242990701688664
"0","many2many","opposite","var","var",2,"S",9.44975841510452e-06,0.00106570504402454
"0","many2many","same","2.5%","mean",1,"jaccard",-0.205638869809126,-0.160498033985606
"0","many2many","same","50%","mean",1,"jaccard",0.0160277444513021,-0.0328463444823293
"0","many2many","same","97.5%","mean",1,"jaccard",0.300634825113209,0.224394069463208
"0","many2many","same","mean","mean",1,"jaccard",0.0220554104361969,-0.00683151827355595
"0","many2many","same","var","mean",1,"jaccard",0.0166063240080538,0.0137472010690186
"0","many2many","same","2.5%","var",1,"jaccard",0.000344341853939202,0.000139979804668679
"0","many2many","same","50%","var",1,"jaccard",0.00117393986795692,0.00258793943622112
"0","many2many","same","97.5%","var",1,"jaccard",0.00389757811669131,0.0220036038647115
"0","many2many","same","mean","var",1,"jaccard",0.00151143924998587,0.00597008619669778
"0","many2many","same","var","var",1,"jaccard",1.07181639176607e-06,9.65030157946337e-05
"0","many2many","same","2.5%","mean",1,"N",-0.132909492104619,-0.132909492104619
"0","many2many","same","50%","mean",1,"N",0.0083248674007313,0.0083248674007313
"0","many2many","same","97.5%","mean",1,"N",0.180855795012586,0.180855795012586
"0","many2many","same","mean","mean",1,"N",0.00609683922364335,0.00609683922364335
"0","many2many","same","var","mean",1,"N",0.00546639479667704,0.00546639479667704
"0","many2many","same","2.5%","var",1,"N",0.0136378949292004,0.0136378949292004
"0","many2many","same","50%","var",1,"N",0.0483141277002728,0.0483141277002728
"0","many2many","same","97.5%","var",1,"N",0.116933534768443,0.116933534768443
"0","many2many","same","mean","var",1,"N",0.0534756200500687,0.0534756200500687
"0","many2many","same","var","var",1,"N",0.000771342247126521,0.000771342247126521
