"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","opposite","97.5%","mean",1,"rda",0.124539343016327,0.52739906440928
"0.25","0.25","many2many","opposite","97.5%","mean",1,"S",0.316066309730614,0.684462500572298
"0.25","0.25","many2many","opposite","97.5%","mean",2,"jaccard",0.931418243912725,0.469585049712052
"0.25","0.25","many2many","opposite","97.5%","mean",2,"N",0.640340268389827,0.640340268389827
"0.25","0.25","many2many","opposite","97.5%","mean",2,"rda",0.523205538343424,0.138297365714672
"0.25","0.25","many2many","opposite","97.5%","mean",2,"S",0.76628367092986,0.516969019336433
"0.25","0.25","many2many","opposite","97.5%","var",1,"jaccard",0.00111673393831574,0.00244267565445022
"0.25","0.25","many2many","opposite","97.5%","var",1,"N",0.0862651116560587,0.0862651116560587
"0.25","0.25","many2many","opposite","97.5%","var",1,"rda",0.000156499364263397,0.00199473023755768
"0.25","0.25","many2many","opposite","97.5%","var",1,"S",0.00430523104215483,0.00572764899442998
"0.25","0.25","many2many","opposite","97.5%","var",2,"jaccard",0.000376624595364139,0.00378158819103501
"0.25","0.25","many2many","opposite","97.5%","var",2,"N",0.129727125291588,0.129727125291588
"0.25","0.25","many2many","opposite","97.5%","var",2,"rda",0.00144461455076587,0.000949679190409332
"0.25","0.25","many2many","opposite","97.5%","var",2,"S",0.00344168717743875,0.00619963856077098
"0.25","0.25","many2many","opposite","mean","mean",1,"jaccard",-0.000534786088165996,0.718710310016727
"0.25","0.25","many2many","opposite","mean","mean",1,"N",0.00589030394432649,0.00589030394432649
"0.25","0.25","many2many","opposite","mean","mean",1,"rda",0.0512914877457167,0.294308378820194
"0.25","0.25","many2many","opposite","mean","mean",1,"S",-0.00996906562171679,0.0428399493607642
"0.25","0.25","many2many","opposite","mean","mean",2,"jaccard",0.874129363896197,0.183973811105283
"0.25","0.25","many2many","opposite","mean","mean",2,"N",0.0298247039821459,0.0298247039821459
"0.25","0.25","many2many","opposite","mean","mean",2,"rda",0.363239294862027,0.0709861010034924
"0.25","0.25","many2many","opposite","mean","mean",2,"S",0.0230745923898302,0.004027472948905
"0.25","0.25","many2many","opposite","mean","var",1,"jaccard",0.000421593742349144,0.000653869999948076
"0.25","0.25","many2many","opposite","mean","var",1,"N",0.0350067123019071,0.0350067123019071
"0.25","0.25","many2many","opposite","mean","var",1,"rda",5.58630037201271e-05,0.000731464508617395
"0.25","0.25","many2many","opposite","mean","var",1,"S",0.00165607183667707,0.00169315278964933
"0.25","0.25","many2many","opposite","mean","var",2,"jaccard",0.000110207098316234,0.00118052437221464
"0.25","0.25","many2many","opposite","mean","var",2,"N",0.0448593281819347,0.0448593281819347
"0.25","0.25","many2many","opposite","mean","var",2,"rda",0.00037141917181923,0.000256175758412438
"0.25","0.25","many2many","opposite","mean","var",2,"S",0.00103215024139841,0.00224633132276665
"0.25","0.25","many2many","opposite","var","mean",1,"jaccard",0.0127780530465609,0.00686791135121181
"0.25","0.25","many2many","opposite","var","mean",1,"N",0.0198833802012477,0.0198833802012477
"0.25","0.25","many2many","opposite","var","mean",1,"rda",0.000917048755068351,0.0121703813917598
"0.25","0.25","many2many","opposite","var","mean",1,"S",0.049264929339914,0.129766524072322
"0.25","0.25","many2many","opposite","var","mean",2,"jaccard",0.00118019489681991,0.0229078308227514
"0.25","0.25","many2many","opposite","var","mean",2,"N",0.0893781409848957,0.0893781409848957
"0.25","0.25","many2many","opposite","var","mean",2,"rda",0.00821540233173677,0.00124996886895449
"0.25","0.25","many2many","opposite","var","mean",2,"S",0.1661416758316,0.0656280938935679
"0.25","0.25","many2many","opposite","var","var",1,"jaccard",8.23888668555394e-08,3.71531882223547e-07
"0.25","0.25","many2many","opposite","var","var",1,"N",0.000731432047820864,0.000731432047820864
"0.25","0.25","many2many","opposite","var","var",1,"rda",2.22543037441931e-09,4.30503970898889e-07
"0.25","0.25","many2many","opposite","var","var",1,"S",1.17199011254966e-06,1.92500630574256e-06
"0.25","0.25","many2many","opposite","var","var",2,"jaccard",9.25293004326678e-09,2.2813028770417e-06
"0.25","0.25","many2many","opposite","var","var",2,"N",0.00132897687271004,0.00132897687271004
"0.25","0.25","many2many","opposite","var","var",2,"rda",1.38964678542296e-07,6.70243974201508e-08
"0.25","0.25","many2many","opposite","var","var",2,"S",9.89826613106181e-07,2.55234074040908e-06
"0.25","0.25","many2many","same","2.5%","mean",1,"jaccard",-0.173220677465009,-0.16179278260334
"0.25","0.25","many2many","same","2.5%","mean",1,"N",-0.360384056604324,-0.360384056604324
"0.25","0.25","many2many","same","2.5%","mean",1,"rda",0.0219167121194137,0.0150261574520617
"0.25","0.25","many2many","same","2.5%","mean",1,"S",-0.36451579327878,-0.358273303405465
"0.25","0.25","many2many","same","2.5%","mean",2,"jaccard",0.755961005181175,0.71703810072625
"0.25","0.25","many2many","same","2.5%","mean",2,"N",-0.666196988990492,-0.666196988990492
"0.25","0.25","many2many","same","2.5%","mean",2,"rda",0.173622238388874,0.0993818687652629
"0.25","0.25","many2many","same","2.5%","mean",2,"S",-0.727207584243775,-0.660879964867038
"0.25","0.25","many2many","same","2.5%","var",1,"jaccard",7.60929975000232e-05,0.000108807008498163
"0.25","0.25","many2many","same","2.5%","var",1,"N",0.000204468576219827,0.000204468576219827
"0.25","0.25","many2many","same","2.5%","var",1,"rda",1.06748736157126e-05,1.31470771778503e-05
"0.25","0.25","many2many","same","2.5%","var",1,"S",0.000405072880142849,0.00043829173683085
"0.25","0.25","many2many","same","2.5%","var",2,"jaccard",2.54606908813576e-05,3.01190212541568e-05
"0.25","0.25","many2many","same","2.5%","var",2,"N",8.90502414425572e-05,8.90502414425572e-05
"0.25","0.25","many2many","same","2.5%","var",2,"rda",3.41823527023386e-05,5.30620775446353e-05
"0.25","0.25","many2many","same","2.5%","var",2,"S",0.000118409094895933,0.000158286940171021
"0.25","0.25","many2many","same","50%","mean",1,"jaccard",-0.0188742590023886,-0.0240105401130271
"0.25","0.25","many2many","same","50%","mean",1,"N",-0.0104519264411806,-0.0104519264411806
"0.25","0.25","many2many","same","50%","mean",1,"rda",0.0410932301217974,0.0418252673466869
"0.25","0.25","many2many","same","50%","mean",1,"S",-0.0383752962510011,-0.0392362201811276
"0.25","0.25","many2many","same","50%","mean",2,"jaccard",0.867034433909352,0.815672720374464
"0.25","0.25","many2many","same","50%","mean",2,"N",0.0142417274112954,0.0142417274112954
"0.25","0.25","many2many","same","50%","mean",2,"rda",0.324152051068282,0.293953939591236
"0.25","0.25","many2many","same","50%","mean",2,"S",-0.103171059718336,-0.0861069277201458
"0.25","0.25","many2many","same","50%","var",1,"jaccard",0.000300384776511452,0.000393014315300042
"0.25","0.25","many2many","same","50%","var",1,"N",0.0218301080334489,0.0218301080334489
"0.25","0.25","many2many","same","50%","var",1,"rda",3.2897772663702e-05,7.41966323241119e-05
"0.25","0.25","many2many","same","50%","var",1,"S",0.00133647245396492,0.00136706545584317
"0.25","0.25","many2many","same","50%","var",2,"jaccard",7.65489399665611e-05,0.000179904660144306
"0.25","0.25","many2many","same","50%","var",2,"N",0.036857783555014,0.036857783555014
"0.25","0.25","many2many","same","50%","var",2,"rda",0.000241434755793831,0.000428584297104941
"0.25","0.25","many2many","same","50%","var",2,"S",0.000691622203166408,0.000829145286949145
"0.25","0.25","many2many","same","97.5%","mean",1,"jaccard",0.236220575323709,0.249087581208585
"0.25","0.25","many2many","same","97.5%","mean",1,"N",0.365724232412648,0.365724232412648
"0.25","0.25","many2many","same","97.5%","mean",1,"rda",0.144572756559899,0.123471229645972
"0.25","0.25","many2many","same","97.5%","mean",1,"S",0.375467604612947,0.359685977021631
"0.25","0.25","many2many","same","97.5%","mean",2,"jaccard",0.925438936267008,0.897585401493285
"0.25","0.25","many2many","same","97.5%","mean",2,"N",0.667816579063166,0.667816579063166
"0.25","0.25","many2many","same","97.5%","mean",2,"rda",0.499564405845656,0.521813662760665
"0.25","0.25","many2many","same","97.5%","mean",2,"S",0.626820620462493,0.608913285613299
"0.25","0.25","many2many","same","97.5%","var",1,"jaccard",0.000829652376299272,0.00153061418940631
"0.25","0.25","many2many","same","97.5%","var",1,"N",0.0802654038602139,0.0802654038602139
"0.25","0.25","many2many","same","97.5%","var",1,"rda",0.00017811534081621,0.000349253362922565
"0.25","0.25","many2many","same","97.5%","var",1,"S",0.00347552189093961,0.00664437132372596
"0.25","0.25","many2many","same","97.5%","var",2,"jaccard",0.000412708280983019,0.00137302588342569
"0.25","0.25","many2many","same","97.5%","var",2,"N",0.132753556360239,0.132753556360239
"0.25","0.25","many2many","same","97.5%","var",2,"rda",0.00167967063185667,0.00291526717971943
"0.25","0.25","many2many","same","97.5%","var",2,"S",0.00207291684421423,0.0046158583037484
"0.25","0.25","many2many","same","mean","mean",1,"jaccard",-0.00578696460166028,-0.000115809972348632
"0.25","0.25","many2many","same","mean","mean",1,"N",-0.00545053388385907,-0.00545053388385907
