"topo","envfilt","stat","summary","time","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"many2many","opposite","50%","mean","T4000",1.46265231085002,20.515,30,1.16556192206793,8.58,10,0.443424813720069,95.235,1904.7
"many2many","opposite","50%","mean","T8000",1.45023933581374,20.6925,30,1.14989387415972,8.6975,10,0.392890899583177,95.25,1905
"many2many","opposite","50%","var","T1000",0.00057247709347829,0.0989444444444445,0,0.000233291053066911,0.011125,0,0.00515514101019086,0.214624999999999,85.85
"many2many","opposite","50%","var","T2000",0.000571342572978768,0.0928333333333331,0,0.000189055917382345,0.010125,0,0.00668082191262131,0.220166666666668,88.0666666666667
"many2many","opposite","50%","var","T4000",0.000480370756347211,0.0938055555555558,0,0.000174136879247924,0.00868055555555555,0,0.00738281386419427,0.214291666666666,85.7166666666667
"many2many","opposite","50%","var","T8000",0.000498446782384362,0.0950138888888889,0,0.000169138591594674,0.00956944444444447,0,0.00783398647850669,0.199361111111111,79.7444444444444
"many2many","opposite","97.5%","mean","T1000",1.76166145815248,22.218,30,1.3735066895497,9.2505,10,0.817211961147193,95.5155,1910.31
"many2many","opposite","97.5%","mean","T2000",1.71986567919878,22.529875,30,1.33335982187313,9.385625,10,0.80649544236946,95.52075,1910.415
"many2many","opposite","97.5%","mean","T4000",1.6945829779448,22.671625,30,1.30700423689834,9.49,10,0.757042122386605,95.447875,1908.9575
"many2many","opposite","97.5%","mean","T8000",1.67672686912116,22.703875,30,1.28426199971058,9.5715,10,0.740039968125949,95.4905,1909.81
"many2many","opposite","97.5%","var","T1000",0.00136768769908935,0.227544444444445,0.1,0.000801294786553423,0.0250993055555556,0,0.0254208713804583,2.92895486111111,1171.58194444444
"many2many","opposite","97.5%","var","T2000",0.00127477676975862,0.231722222222222,0.1,0.000544015490258982,0.0226,0,0.0240391670219916,3.75349374999999,1501.3975
"many2many","opposite","97.5%","var","T4000",0.00124577871580004,0.221066666666667,0.0524999999999992,0.000542402933929599,0.0270826388888889,0,0.0239862928820237,4.66839444444444,1867.35777777778
"many2many","opposite","97.5%","var","T8000",0.00111062560761926,0.208736111111111,0.1,0.000517825471573222,0.0221354166666666,0,0.0279429967031721,4.0393673611111,1615.74694444444
"many2many","opposite","mean","mean","T1000",1.51245814938275,19.91595,29.979,1.20771116903794,8.3216,10,0.485807853547016,94.94715,1898.943
"many2many","opposite","mean","mean","T2000",1.49125789624148,20.19375,29.984,1.18436651381177,8.47995,10,0.44904001239518,95.00095,1900.019
"many2many","opposite","mean","mean","T4000",1.47733314975236,20.3798,29.984,1.16744815092649,8.599,10,0.4138833791488,95.087,1901.74
"many2many","opposite","mean","mean","T8000",1.4668509376064,20.51545,29.981,1.15331078928012,8.7008,10,0.383619274232251,95.09725,1901.945
"many2many","opposite","mean","var","T1000",0.000639400913268586,0.103348055555556,0.00744444444444444,0.00025981942573152,0.0115344444444444,0,0.00719682834579094,0.438558611111111,175.423444444444
"many2many","opposite","mean","var","T2000",0.000617725369189445,0.108843055555556,0.00533333333333333,0.000225876384247112,0.0108413888888889,0,0.00854457996575993,0.469858611111111,187.943444444444
"many2many","opposite","mean","var","T4000",0.000543737622983539,0.0984616666666667,0.00511111111111111,0.000200444110840359,0.0100072222222222,0,0.00853112192808019,0.451352777777778,180.541111111111
"many2many","opposite","mean","var","T8000",0.00053146373552155,0.101053055555556,0.00811111111111111,0.000184524982002771,0.00991833333333334,0,0.00902488337002635,0.4185175,167.407
"many2many","opposite","var","mean","T1000",0.0110024480202029,1.74033822979798,0.0139989898989899,0.00761853844472147,0.321078222222222,0,0.0464697379834078,1.44395618939394,577.582475757576
"many2many","opposite","var","mean","T2000",0.00957664548069628,1.63030271464646,0.0130747474747475,0.00634343079645951,0.287811361111111,0,0.0505137775751164,0.955569542929293,382.227817171717
"many2many","opposite","var","mean","T4000",0.00897815736798247,1.58359743434343,0.0112565656565657,0.00550880719377467,0.265997474747475,0,0.0516139242012761,0.569033838383839,227.613535353535
"many2many","opposite","var","mean","T8000",0.00791875109026543,1.45658186616162,0.0114535353535354,0.00476298289573318,0.243608949494949,0,0.0542177389323999,0.520428472222222,208.171388888889
"many2many","opposite","var","var","T1000",1.49597973898002e-07,0.00200818438170283,0.00128458660680883,3.21437599486125e-08,3.78644955730141e-05,0,4.36132116542786e-05,0.630319344820038,100851.095171206
"many2many","opposite","var","var","T2000",9.22320267121809e-08,0.00248791802866629,0.000824242424242424,1.97815872407601e-08,2.77011830496322e-05,0,4.83150366739535e-05,0.9654911773615,154478.58837784
"many2many","opposite","var","var","T4000",9.90819088142597e-08,0.00268940341345554,0.000943808454919566,2.98936436399475e-08,3.4668843060232e-05,0,3.71660812318422e-05,1.06701101865102,170721.762984163
"many2many","opposite","var","var","T8000",6.68660489794876e-08,0.00214284497903417,0.00120677141788253,1.48627920076287e-08,3.21609430727023e-05,0,5.15326435808927e-05,0.873820636732372,139811.301877179
"many2many","same","2.5%","mean","T1000",1.29354546172159,17.5105,29.4425,1.07959266715433,7.233875,10,0.700022224419696,90.246875,1804.9375
"many2many","same","2.5%","mean","T2000",1.29280024988129,17.857375,29.8,1.06986341067649,7.502375,10,0.6587701025464,90.331625,1806.6325
"many2many","same","2.5%","mean","T4000",1.28626054290357,18.14925,29.8475,1.05988828376439,7.605125,10,0.592673850720175,90.225,1804.5
"many2many","same","2.5%","mean","T8000",1.29064681879185,18.26675,29.8475,1.05477376797556,7.712,10,0.562069629614895,90.357125,1807.1425
"many2many","same","2.5%","var","T1000",0.000171886005044688,0.03476875,0,6.91022169847894e-05,0.00372847222222222,0,3.8148939963448e-05,0.0677506944444442,27.1002777777778
"many2many","same","2.5%","var","T2000",0.000175212574252762,0.0376840277777779,0,4.18545248398812e-05,0.00254444444444443,0,7.48587375358651e-05,0.0623472222222222,24.9388888888889
"many2many","same","2.5%","var","T4000",0.000134391708479056,0.0368583333333335,0,3.20689094623582e-05,0.00191666666666668,0,7.30663210711011e-05,0.0698270833333336,27.9308333333333
"many2many","same","2.5%","var","T8000",0.000129258351302827,0.0291881944444446,0,2.97304712765709e-05,0.00193055555555555,0,6.96848820380652e-05,0.0848138888888886,33.9255555555556
"many2many","same","50%","mean","T1000",1.47532542835268,20.3075,30,1.20745351116181,8.2825,10,0.926772459165623,95.1875,1903.75
"many2many","same","50%","mean","T2000",1.45396831350094,20.6125,30,1.18922024066242,8.41,10,0.910486200446014,95.1525,1903.05
"many2many","same","50%","mean","T4000",1.43545489273357,20.8875,30,1.16979823423695,8.55,10,0.899844321241324,95.2075,1904.15
"many2many","same","50%","mean","T8000",1.43047074266089,20.92,30,1.16222416739961,8.605,10,0.894209652869046,95.2,1904
"many2many","same","50%","var","T1000",0.000473559418473436,0.0912500000000001,0,0.000183178847623453,0.00916666666666666,0,0.000392132148093498,0.220347222222223,88.1388888888889
"many2many","same","50%","var","T2000",0.00050035984961904,0.0940833333333335,0,0.000189204299490869,0.00894444444444445,0,0.000549261521102679,0.231666666666666,92.6666666666667
"many2many","same","50%","var","T4000",0.000466575231415412,0.0910694444444445,0,0.000144821181797967,0.00784722222222222,0,0.000644468545779962,0.219888888888887,87.9555555555555
"many2many","same","50%","var","T8000",0.00038702660452992,0.0785833333333334,0,0.000133346991410231,0.00701388888888888,0,0.000594420650343094,0.223861111111112,89.5444444444445
"many2many","same","97.5%","mean","T1000",1.71358256249375,23.062375,30,1.38270896540851,9.263625,10,0.971939267027303,95.56075,1911.215
"many2many","same","97.5%","mean","T2000",1.6806576442537,23.063625,30,1.33331551724711,9.347625,10,0.971061272841278,95.47575,1909.515
"many2many","same","97.5%","mean","T4000",1.65360689759898,23.25525,30,1.31513134345434,9.4355,10,0.967323308556594,95.542875,1910.8575
"many2many","same","97.5%","mean","T8000",1.64274554918452,23.17775,30,1.29687813534408,9.48125,10,0.967472713868532,95.4855,1909.71
"many2many","same","97.5%","var","T1000",0.00131191240028231,0.228066666666667,0.206944444444444,0.00052313685931048,0.02103125,0,0.00975886927030953,6.43713055555554,2574.85222222222
"many2many","same","97.5%","var","T2000",0.00103173403887795,0.195552777777778,0.177777777777778,0.000635715402080097,0.0219638888888889,0,0.0092705730085076,5.42585833333333,2170.34333333333
"many2many","same","97.5%","var","T4000",0.00110013483179177,0.189725694444445,0.1,0.000559331984619894,0.0218555555555556,0,0.0113886917678522,5.42814930555553,2171.25972222222
"many2many","same","97.5%","var","T8000",0.00114582991589112,0.181847222222222,0.140833333333333,0.000423966519178461,0.0219055555555555,0,0.0113170559286222,5.79511458333334,2318.04583333333
"many2many","same","mean","mean","T1000",1.47847496941944,20.3915,29.968,1.21343462994808,8.28185,10,0.894214981037566,94.12605,1882.521
"many2many","same","mean","mean","T2000",1.46120533035234,20.6191,29.97,1.19132781933276,8.4295,10,0.880358375739061,94.2932,1885.864
"many2many","same","mean","mean","T4000",1.44923829403698,20.78625,29.975,1.17478777177995,8.54415,10,0.871427066170879,94.456,1889.12
"many2many","same","mean","mean","T8000",1.44078344896814,20.9008,29.979,1.16288096053978,8.6276,10,0.862018485347001,94.5595,1891.19
"many2many","same","mean","var","T1000",0.000577938622451167,0.101614444444444,0.0133333333333333,0.00023200765431237,0.0101813888888889,0,0.00121624199220034,1.05805027777778,423.220111111111
"many2many","same","mean","var","T2000",0.000525265878868086,0.0998061111111111,0.0111111111111111,0.000217304793174186,0.0100638888888889,0,0.00138725978019285,0.809917777777778,323.967111111111
"many2many","same","mean","var","T4000",0.00050886710937085,0.0953552777777778,0.00877777777777778,0.000189909419254101,0.00927472222222222,0,0.00169438495601075,0.635936111111111,254.374444444444
"many2many","same","mean","var","T8000",0.000452329518311694,0.0883183333333333,0.00833333333333333,0.000159539309246293,0.00845388888888889,0,0.001803693916625,0.674072222222222,269.628888888889
"many2many","same","var","mean","T1000",0.013632664302596,2.30435833333333,0.0211878787878788,0.00745538565435598,0.320181643939394,0,0.00865443300146087,6.67558954292929,2670.23581717172
"many2many","same","var","mean","T2000",0.0116618260190315,2.06987342424242,0.0192929292929293,0.00610708711802351,0.283184090909091,0,0.0103586195113706,5.63539167676768,2254.15667070707
