"o","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","N","Ntot"
"0.9","one2many","opposite","50%","var",0.000417312992962986,0.0816666666666665,0,0.000387470596448619,0.0139583333333333,0,0.197569444444445,79.0277777777778
"0.9","one2many","opposite","97.5%","mean",1.63149465981636,23.482625,30,1.48940156705582,8.98875,10,95.48525,1909.705
"0.9","one2many","opposite","97.5%","var",0.00123471786760767,0.189333333333333,0,0.000978324116666778,0.0291909722222222,0,0.605030555555556,242.012222222222
"0.9","one2many","opposite","mean","mean",1.44568727401697,20.84035,29.999,1.28817682634628,7.8055,10,95.1982,1903.964
"0.9","one2many","opposite","mean","var",0.000460175911397543,0.0910102777777777,0.001,0.000421628479677075,0.0148327777777778,0,0.263629444444445,105.451777777778
"0.9","one2many","opposite","var","mean",0.00872973889433611,1.80603548232323,0.000100000000000003,0.0087888976712651,0.324525505050505,0,0.0664851111111109,26.5940444444444
"0.9","one2many","opposite","var","var",6.97033873314105e-08,0.0021742223415482,1e-04,5.75007297363348e-08,5.08412673026562e-05,0,0.161155417714491,25784.8668343185
"0.9","one2many","same","2.5%","mean",1.24030841887788,18.038875,30,1.10224767186759,6.552875,10,93.619,1872.38
"0.9","one2many","same","2.5%","var",9.23967953546463e-05,0.0256083333333333,0,6.66402915530336e-05,0.00345763888888888,0,0.0720451388888888,28.8180555555556
"0.9","one2many","same","50%","mean",1.42667455221714,21.0325,30,1.24868109782526,8.01,10,95.185,1903.7
"0.9","one2many","same","50%","var",0.000329167969099493,0.0851805555555556,0,0.000373940400863772,0.0138333333333333,0,0.228888888888889,91.5555555555555
"0.9","one2many","same","97.5%","mean",1.66339983014695,24.190625,30,1.52634826936601,9.072875,10,95.543375,1910.8675
"0.9","one2many","same","97.5%","var",0.00102273901451283,0.191486111111111,0,0.00118600980276589,0.0352944444444444,0,1.05682222222222,422.728888888886
"0.9","one2many","same","mean","mean",1.42347500255886,21.20455,30,1.27378618266431,7.9149,9.999,95.09875,1901.975
"0.9","one2many","same","mean","var",0.000402745742059349,0.0853097222222222,0,0.000437627373938508,0.0148788888888889,0.001,0.311729722222222,124.691888888889
