"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.5","many2many","opposite","2.5%","mean",1,"rda",0.0250361580321126,0.0067116432921036
"0.5","many2many","opposite","50%","mean",1,"rda",0.0487369380335468,0.0484305429378656
"0.5","many2many","opposite","97.5%","mean",1,"rda",0.110172595896127,0.145609990344743
"0.5","many2many","opposite","mean","mean",1,"rda",0.0548436777801002,0.0538355934989159
"0.5","many2many","opposite","var","mean",1,"rda",0.000468361683584771,0.0013669813453008
"0.5","many2many","opposite","2.5%","var",1,"rda",3.67283566821526e-05,1.59771054259294e-05
"0.5","many2many","opposite","50%","var",1,"rda",0.000118765829344173,0.000577633865839863
"0.5","many2many","opposite","97.5%","var",1,"rda",0.000426070846437013,0.00852142716791785
"0.5","many2many","opposite","mean","var",1,"rda",0.0001433362194431,0.00166212751125152
"0.5","many2many","opposite","var","var",1,"rda",9.7837607304605e-09,6.19362296938903e-06
"0.5","many2many","opposite","2.5%","mean",1,"S",-0.353910565484378,-0.304585112706997
"0.5","many2many","opposite","50%","mean",1,"S",0.0308281939334143,-0.0127961615948401
"0.5","many2many","opposite","97.5%","mean",1,"S",0.432412659760462,0.318524247986688
"0.5","many2many","opposite","mean","mean",1,"S",0.0210078460623161,0.00264057536679183
"0.5","many2many","opposite","var","mean",1,"S",0.0478374565374539,0.0352944648092028
"0.5","many2many","opposite","2.5%","var",1,"S",0.0015479308780709,0.000923457379479191
"0.5","many2many","opposite","50%","var",1,"S",0.0048232559063788,0.0141765200448933
"0.5","many2many","opposite","97.5%","var",1,"S",0.0196157118820878,0.0672069166734886
"0.5","many2many","opposite","mean","var",1,"S",0.00564636792819634,0.0189042283548402
"0.5","many2many","opposite","var","var",1,"S",2.00057155361858e-05,0.000378433783443877
"0.5","many2many","opposite","2.5%","mean",2,"jaccard",0.788119661099884,0.0997189982343699
"0.5","many2many","opposite","50%","mean",2,"jaccard",0.881054417396522,0.49039643412985
"0.5","many2many","opposite","97.5%","mean",2,"jaccard",0.929013811337508,0.778582828238527
"0.5","many2many","opposite","mean","mean",2,"jaccard",0.878840370356442,0.476424589473614
"0.5","many2many","opposite","var","mean",2,"jaccard",0.00123701962623298,0.0302841517138877
"0.5","many2many","opposite","2.5%","var",2,"jaccard",6.48692907307535e-05,0.000238427032707281
"0.5","many2many","opposite","50%","var",2,"jaccard",0.000347060315995058,0.00787248260472056
"0.5","many2many","opposite","97.5%","var",2,"jaccard",0.00138599853009584,0.0304837029432358
"0.5","many2many","opposite","mean","var",2,"jaccard",0.000453395557994738,0.00987988612215459
"0.5","many2many","opposite","var","var",2,"jaccard",1.42792383106437e-07,0.000103838353866943
"0.5","many2many","opposite","2.5%","mean",2,"N",-0.134491275599319,-0.134491275599319
"0.5","many2many","opposite","50%","mean",2,"N",-0.00832848748935739,-0.00832848748935739
"0.5","many2many","opposite","97.5%","mean",2,"N",0.125010163280271,0.125010163280271
"0.5","many2many","opposite","mean","mean",2,"N",0.0010614090144752,0.0010614090144752
"0.5","many2many","opposite","var","mean",2,"N",0.0110241204403242,0.0110241204403242
"0.5","many2many","opposite","2.5%","var",2,"N",0.0114959411911245,0.0114959411911245
"0.5","many2many","opposite","50%","var",2,"N",0.0478681486392432,0.0478681486392432
"0.5","many2many","opposite","97.5%","var",2,"N",0.108980427129016,0.108980427129016
"0.5","many2many","opposite","mean","var",2,"N",0.0503891889997673,0.0503891889997673
"0.5","many2many","opposite","var","var",2,"N",0.0006512963116487,0.0006512963116487
"0.5","many2many","opposite","2.5%","mean",2,"rda",0.221354751363475,0.0797426865398871
"0.5","many2many","opposite","50%","mean",2,"rda",0.337238589442805,0.268458774393689
"0.5","many2many","opposite","97.5%","mean",2,"rda",0.45792751938444,0.464774294716213
"0.5","many2many","opposite","mean","mean",2,"rda",0.336990375739973,0.258309515634649
"0.5","many2many","opposite","var","mean",2,"rda",0.00311573822932284,0.0105376272713017
"0.5","many2many","opposite","2.5%","var",2,"rda",0.000167350575242957,0.000688047935033455
"0.5","many2many","opposite","50%","var",2,"rda",0.00062307177600972,0.00378940346741728
"0.5","many2many","opposite","97.5%","var",2,"rda",0.0014267537047284,0.0164225663046854
"0.5","many2many","opposite","mean","var",2,"rda",0.000682232933425369,0.00589410856578085
"0.5","many2many","opposite","var","var",2,"rda",1.15716347467014e-07,2.91087413254328e-05
"0.5","many2many","opposite","2.5%","mean",2,"S",-0.726101590477044,-0.707890094804722
"0.5","many2many","opposite","50%","mean",2,"S",-0.0954799007378207,0.0996184254685762
"0.5","many2many","opposite","97.5%","mean",2,"S",0.635939665065909,0.697507741718201
"0.5","many2many","opposite","mean","mean",2,"S",-0.101549037836509,-0.00778698352365286
"0.5","many2many","opposite","var","mean",2,"S",0.163790192405185,0.224746642892762
"0.5","many2many","opposite","2.5%","var",2,"S",0.000725915542276982,0.000857314404116275
"0.5","many2many","opposite","50%","var",2,"S",0.00259870338448161,0.0215396728451793
"0.5","many2many","opposite","97.5%","var",2,"S",0.0128565662222091,0.118333589185108
"0.5","many2many","opposite","mean","var",2,"S",0.00355404514466797,0.0310059531415957
"0.5","many2many","opposite","var","var",2,"S",1.18827694985755e-05,0.00110327308609487
"0.5","many2many","same","2.5%","mean",1,"jaccard",-0.178201342907894,-0.147636864967006
"0.5","many2many","same","50%","mean",1,"jaccard",-0.0140157382768389,-0.0335436629277727
"0.5","many2many","same","97.5%","mean",1,"jaccard",0.352674064541257,0.445576221622929
"0.5","many2many","same","mean","mean",1,"jaccard",0.0154670087652702,0.0227161808265721
"0.5","many2many","same","var","mean",1,"jaccard",0.0194555706703557,0.0254940606563215
"0.5","many2many","same","2.5%","var",1,"jaccard",0.000312139838021099,0.000133726634039327
"0.5","many2many","same","50%","var",1,"jaccard",0.00124807301569494,0.00528449356526775
"0.5","many2many","same","97.5%","var",1,"jaccard",0.00408317296773147,0.0344204613805715
"0.5","many2many","same","mean","var",1,"jaccard",0.00149460993530135,0.00794072750026832
"0.5","many2many","same","var","var",1,"jaccard",1.02185186214417e-06,8.89708332536394e-05
"0.5","many2many","same","2.5%","mean",1,"N",-0.144300855408761,-0.144300855408761
"0.5","many2many","same","50%","mean",1,"N",-0.00910804755124369,-0.00910804755124369
"0.5","many2many","same","97.5%","mean",1,"N",0.129684170497382,0.129684170497382
"0.5","many2many","same","mean","mean",1,"N",-0.0116579192815993,-0.0116579192815993
"0.5","many2many","same","var","mean",1,"N",0.00478544975208155,0.00478544975208155
"0.5","many2many","same","2.5%","var",1,"N",0.0193049247516705,0.0193049247516705
"0.5","many2many","same","50%","var",1,"N",0.0473527715353995,0.0473527715353995
"0.5","many2many","same","97.5%","var",1,"N",0.10728304859585,0.10728304859585
"0.5","many2many","same","mean","var",1,"N",0.0542636161895698,0.0542636161895698
"0.5","many2many","same","var","var",1,"N",0.000585049263680852,0.000585049263680852
"0.5","many2many","same","2.5%","mean",1,"rda",0.0267986360315526,0.00530672732490126
"0.5","many2many","same","50%","mean",1,"rda",0.0509418962992425,0.0427924526748701
"0.5","many2many","same","97.5%","mean",1,"rda",0.113693408140392,0.206699005895713
"0.5","many2many","same","mean","mean",1,"rda",0.058293100907885,0.0622311000046226
"0.5","many2many","same","var","mean",1,"rda",0.000714563679169886,0.00327896910280001
"0.5","many2many","same","2.5%","var",1,"rda",3.24239030789421e-05,6.63759618849811e-06
"0.5","many2many","same","50%","var",1,"rda",0.000102356361449016,0.000884722933579053
"0.5","many2many","same","97.5%","var",1,"rda",0.000410181744901525,0.00716080661011776
"0.5","many2many","same","mean","var",1,"rda",0.000138637416802395,0.00155636701376964
"0.5","many2many","same","var","var",1,"rda",1.18278861744818e-08,5.52820507008403e-06
"0.5","many2many","same","2.5%","mean",1,"S",-0.363755991624523,-0.364234176386513
"0.5","many2many","same","50%","mean",1,"S",0.0267443424976226,0.021125872251136
"0.5","many2many","same","97.5%","mean",1,"S",0.435040143777786,0.428744485553095
"0.5","many2many","same","mean","mean",1,"S",0.0277799696155245,0.0319484848998271
"0.5","many2many","same","var","mean",1,"S",0.0489946557996623,0.047082398454776
"0.5","many2many","same","2.5%","var",1,"S",0.00127793801676278,0.000343444338709007
